ID	Label	Type	hasConstraint	involvesAtom1	involvesAtom2	involvesAtom3	involvesAtom4	targetValue	hasUnit	constraintMode	forceConstant
ID	LABEL	TYPE	I ex:hasConstraint	I ex:involvesAtom1	I ex:involvesAtom2	I ex:involvesAtom3	I ex:involvesAtom4	AT ex:targetValue^^xsd:float	I gc:hasUnit	A gc:constraintMode	AT ex:forceConstant^^xsd:float
ex:constraint_aa001a_d1	Distance constraint aa001a	ex:DistanceConstraint		ex:atom_10	ex:atom_7			1.2	gc:angstrom	fixed	
ex:exp_aa001a	Experiment aa001a	gc:MolecularComputation	ex:constraint_aa001a_d1								
ex:constraint_aa001a_d2	Distance constraint aa001a	ex:DistanceConstraint		ex:atom_8	ex:atom_13			1.2	gc:angstrom	fixed	
ex:exp_aa001a	Experiment aa001a	gc:MolecularComputation	ex:constraint_aa001a_d2								
ex:constraint_aa001b_d1	Distance constraint aa001b	ex:DistanceConstraint		ex:atom_10	ex:atom_7			1.2	gc:angstrom	fixed	
ex:exp_aa001b	Experiment aa001b	gc:MolecularComputation	ex:constraint_aa001b_d1								
ex:constraint_aa001b_d2	Distance constraint aa001b	ex:DistanceConstraint		ex:atom_8	ex:atom_13			1.2	gc:angstrom	fixed	
ex:exp_aa001b	Experiment aa001b	gc:MolecularComputation	ex:constraint_aa001b_d2								
ex:constraint_aa001c_d1	Distance constraint aa001c	ex:DistanceConstraint		ex:atom_10	ex:atom_7			1.2	gc:angstrom	fixed	
ex:exp_aa001c	Experiment aa001c	gc:MolecularComputation	ex:constraint_aa001c_d1								
ex:constraint_aa001c_d2	Distance constraint aa001c	ex:DistanceConstraint		ex:atom_8	ex:atom_13			1.2	gc:angstrom	fixed	
ex:exp_aa001c	Experiment aa001c	gc:MolecularComputation	ex:constraint_aa001c_d2								
