ID	Label	Type	used	generated	wasGeneratedBy	fileURL	sha256	hasMethod	hasBasisSet	hasSolvent	hasSolvationModel	hasRuntyp	hasHssend
ID	LABEL	TYPE	I prov:used	I prov:generated SPLIT=|	I prov:wasGeneratedBy	A ex:fileURL	A schema:sha256	A gc:hasMethod	A gc:hasBasisSet	A ex:hasSolvent	A ex:hasSolvationModel	A ex:hasRuntyp	AT ex:hasHssend^^xsd:boolean
ex:avogadro_build	Structure built in Avogadro	prov:Activity											
ex:exp_aa001-ts-pcseg2	Single point aa001-ts-pcseg2	gc:SinglePoint	ex:file_aa001-ts-pcseg2_inp	ex:file_aa001-ts-pcseg2_dat|ex:file_aa001-ts-pcseg2_log				wB97X-D	PCSEG-2	water	PCM	ENERGY	
ex:file_aa001-ts-pcseg2_inp	Input file aa001-ts-pcseg2	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001-ts-pcseg2.inp	9207e77c41e956c28f3be4a27d6c7a0c9af33c4bd51f3ff50dee91bd37f506e4						
ex:file_aa001-ts-pcseg2_dat	Output data aa001-ts-pcseg2	ex:DataFile			ex:exp_aa001-ts-pcseg2								
ex:file_aa001-ts-pcseg2_log	Output log aa001-ts-pcseg2	ex:LogFile			ex:exp_aa001-ts-pcseg2	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001-ts-pcseg2.log	e859b0bdbf7756384d7ddb651e0158cfb7f61639a33e0cea4e69449a7464a081						
													
ex:exp_aa001a	Vibrational analysis aa001a	gc:VibrationalAnalysis	ex:file_aa001a_inp	ex:file_aa001a_dat|ex:file_aa001a_log				wB97X-D	6-21G+(d,p)	water	PCM	OPTIMIZE	true
ex:file_aa001a_inp	Input file aa001a	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001a.inp	af069c48c22deb860321d336e4beba67083e68eb8e6901f52814377defb6c260						
ex:file_aa001a_dat	Output data aa001a	ex:DataFile			ex:exp_aa001a								
ex:file_aa001a_log	Output log aa001a	ex:LogFile			ex:exp_aa001a	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001a.log	ca9cf795626c1c861c4bb82b1c19c9cfa247ad01202666a558e7c475669ff930						
													
ex:exp_aa001b	Vibrational analysis aa001b	gc:VibrationalAnalysis	ex:file_aa001b_inp	ex:file_aa001b_dat|ex:file_aa001b_log				wB97X-D	6-21G+(d,p)	water	PCM	OPTIMIZE	true
ex:file_aa001b_inp	Input file aa001b	ex:InputFile			ex:exp_aa001a	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001b.inp	719a4b99a4c15f0c6253e05a4a9dacee765b0fd5a22b255f994dd2287cb61d1a						
ex:file_aa001b_dat	Output data aa001b	ex:DataFile			ex:exp_aa001b								
ex:file_aa001b_log	Output log aa001b	ex:LogFile			ex:exp_aa001b	file:////home/darren/Projects/active/ont_mm/examples/aa/outputs/aa001b.log	96789c959d5748a534cbafbb7de17677af2aa84fa50f00e7fc1ca99b85f9f699						
													
ex:exp_aa001c	Vibrational analysis aa001c	gc:VibrationalAnalysis	ex:file_aa001c_inp	ex:file_aa001c_dat|ex:file_aa001c_log				wB97X-D	6-21G+(d,p)	water	PCM	OPTIMIZE	true
ex:file_aa001c_inp	Input file aa001c	ex:InputFile			ex:exp_aa001b	file:////home/darren/Projects/active/ont_mm/examples/aa/inputs/aa001c.inp	a2c3336ff120c7da5a18e3ddfea8ec0a73fa7ce957a44ca8f6462373b3faff1a						
ex:file_aa001c_dat	Output data aa001c	ex:DataFile			ex:exp_aa001c								
