ID	Label	Type	hasFloatValue	hasUnit
ID	LABEL	TYPE	AT gc:hasFloatValue^^xsd:float	I gc:hasUnit
ex:freqval_aa001a_1	Frequency mode 1 aa001a	gc:FloatValue	-1314.49	gc:cm-1
ex:freqval_aa001a_2	Frequency mode 2 aa001a	gc:FloatValue	87.94	gc:cm-1
ex:freqval_aa001a_3	Frequency mode 3 aa001a	gc:FloatValue	52.2	gc:cm-1
ex:freqval_aa001a_4	Frequency mode 4 aa001a	gc:FloatValue	42.77	gc:cm-1
ex:freqval_aa001a_5	Frequency mode 5 aa001a	gc:FloatValue	0.3	gc:cm-1
ex:freqval_aa001a_6	Frequency mode 6 aa001a	gc:FloatValue	0.12	gc:cm-1
ex:freqval_aa001a_7	Frequency mode 7 aa001a	gc:FloatValue	1.29	gc:cm-1
ex:intval_aa001a_1	IR intensity mode 1 aa001a	gc:FloatValue	13.46424	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001a_2	IR intensity mode 2 aa001a	gc:FloatValue	0.22205	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001a_3	IR intensity mode 3 aa001a	gc:FloatValue	0.1022	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001a_4	IR intensity mode 4 aa001a	gc:FloatValue	0.31038	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001a_5	IR intensity mode 5 aa001a	gc:FloatValue	1e-05	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001a_6	IR intensity mode 6 aa001a	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001a_7	IR intensity mode 7 aa001a	gc:FloatValue	0.00023	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa001b_1	Frequency mode 1 aa001b	gc:FloatValue	-1315.3	gc:cm-1
ex:freqval_aa001b_2	Frequency mode 2 aa001b	gc:FloatValue	84.87	gc:cm-1
ex:freqval_aa001b_3	Frequency mode 3 aa001b	gc:FloatValue	53.39	gc:cm-1
ex:freqval_aa001b_4	Frequency mode 4 aa001b	gc:FloatValue	43.75	gc:cm-1
ex:freqval_aa001b_5	Frequency mode 5 aa001b	gc:FloatValue	0.04	gc:cm-1
ex:freqval_aa001b_6	Frequency mode 6 aa001b	gc:FloatValue	0.15	gc:cm-1
ex:freqval_aa001b_7	Frequency mode 7 aa001b	gc:FloatValue	0.92	gc:cm-1
ex:intval_aa001b_1	IR intensity mode 1 aa001b	gc:FloatValue	13.44717	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001b_2	IR intensity mode 2 aa001b	gc:FloatValue	0.20241	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001b_3	IR intensity mode 3 aa001b	gc:FloatValue	0.17854	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001b_4	IR intensity mode 4 aa001b	gc:FloatValue	0.23786	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001b_5	IR intensity mode 5 aa001b	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001b_6	IR intensity mode 6 aa001b	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001b_7	IR intensity mode 7 aa001b	gc:FloatValue	0.00016	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa001c_1	Frequency mode 1 aa001c	gc:FloatValue	-1315.29	gc:cm-1
ex:freqval_aa001c_2	Frequency mode 2 aa001c	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001c_3	Frequency mode 3 aa001c	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001c_4	Frequency mode 4 aa001c	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001c_5	Frequency mode 5 aa001c	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001c_6	Frequency mode 6 aa001c	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001c_7	Frequency mode 7 aa001c	gc:FloatValue	0	gc:cm-1
ex:intval_aa001c_1	IR intensity mode 1 aa001c	gc:FloatValue	13.44735	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001c_2	IR intensity mode 2 aa001c	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001c_3	IR intensity mode 3 aa001c	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001c_4	IR intensity mode 4 aa001c	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001c_5	IR intensity mode 5 aa001c	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001c_6	IR intensity mode 6 aa001c	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001c_7	IR intensity mode 7 aa001c	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa001d-smd-hess_1	Frequency mode 1 aa001d-smd-hess	gc:FloatValue	-1345.71	gc:cm-1
ex:freqval_aa001d-smd-hess_2	Frequency mode 2 aa001d-smd-hess	gc:FloatValue	55.51	gc:cm-1
ex:freqval_aa001d-smd-hess_3	Frequency mode 3 aa001d-smd-hess	gc:FloatValue	31.4	gc:cm-1
ex:freqval_aa001d-smd-hess_4	Frequency mode 4 aa001d-smd-hess	gc:FloatValue	25.92	gc:cm-1
ex:freqval_aa001d-smd-hess_5	Frequency mode 5 aa001d-smd-hess	gc:FloatValue	2.46	gc:cm-1
ex:freqval_aa001d-smd-hess_6	Frequency mode 6 aa001d-smd-hess	gc:FloatValue	0.9	gc:cm-1
ex:freqval_aa001d-smd-hess_7	Frequency mode 7 aa001d-smd-hess	gc:FloatValue	0.12	gc:cm-1
ex:intval_aa001d-smd-hess_1	IR intensity mode 1 aa001d-smd-hess	gc:FloatValue	11.22574	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d-smd-hess_2	IR intensity mode 2 aa001d-smd-hess	gc:FloatValue	0.26356	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d-smd-hess_3	IR intensity mode 3 aa001d-smd-hess	gc:FloatValue	0.03086	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d-smd-hess_4	IR intensity mode 4 aa001d-smd-hess	gc:FloatValue	0.26185	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d-smd-hess_5	IR intensity mode 5 aa001d-smd-hess	gc:FloatValue	0.00017	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d-smd-hess_6	IR intensity mode 6 aa001d-smd-hess	gc:FloatValue	2e-05	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d-smd-hess_7	IR intensity mode 7 aa001d-smd-hess	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa001d-smd_1	Frequency mode 1 aa001d-smd	gc:FloatValue	-1248.16	gc:cm-1
ex:freqval_aa001d-smd_2	Frequency mode 2 aa001d-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001d-smd_3	Frequency mode 3 aa001d-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001d-smd_4	Frequency mode 4 aa001d-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001d-smd_5	Frequency mode 5 aa001d-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001d-smd_6	Frequency mode 6 aa001d-smd	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001d-smd_7	Frequency mode 7 aa001d-smd	gc:FloatValue	0	gc:cm-1
ex:intval_aa001d-smd_1	IR intensity mode 1 aa001d-smd	gc:FloatValue	12.59898	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d-smd_2	IR intensity mode 2 aa001d-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d-smd_3	IR intensity mode 3 aa001d-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d-smd_4	IR intensity mode 4 aa001d-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d-smd_5	IR intensity mode 5 aa001d-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d-smd_6	IR intensity mode 6 aa001d-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d-smd_7	IR intensity mode 7 aa001d-smd	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:freqval_aa001d_1	Frequency mode 1 aa001d	gc:FloatValue	-1360.89	gc:cm-1
ex:freqval_aa001d_2	Frequency mode 2 aa001d	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001d_3	Frequency mode 3 aa001d	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001d_4	Frequency mode 4 aa001d	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001d_5	Frequency mode 5 aa001d	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001d_6	Frequency mode 6 aa001d	gc:FloatValue	0	gc:cm-1
ex:freqval_aa001d_7	Frequency mode 7 aa001d	gc:FloatValue	0	gc:cm-1
ex:intval_aa001d_1	IR intensity mode 1 aa001d	gc:FloatValue	9.36003	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d_2	IR intensity mode 2 aa001d	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d_3	IR intensity mode 3 aa001d	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
ex:intval_aa001d_4	IR intensity mode 4 aa001d	gc:FloatValue	0	gc:debyeSquaredPerAmuAngstromSquared
