ID	Label	Type	hasIndex	hasPathEnergy
ID	LABEL	TYPE	I gc:hasIndex	I gc:hasPathEnergy
ex:pathpoint_aa001e_1	Path point 1 (backward) aa001e	gc:ReactionPathPoint	1	ex:pathenergy_aa001e_1
ex:pathpoint_aa001e_2	Path point 2 (backward) aa001e	gc:ReactionPathPoint	2	ex:pathenergy_aa001e_2
ex:pathpoint_aa001e_3	Path point 3 (backward) aa001e	gc:ReactionPathPoint	3	ex:pathenergy_aa001e_3
ex:pathpoint_aa001e_4	Path point 4 (backward) aa001e	gc:ReactionPathPoint	4	ex:pathenergy_aa001e_4
ex:pathpoint_aa001e_5	Path point 5 (backward) aa001e	gc:ReactionPathPoint	5	ex:pathenergy_aa001e_5
ex:pathpoint_aa001e_6	Path point 6 (backward) aa001e	gc:ReactionPathPoint	6	ex:pathenergy_aa001e_6
ex:pathpoint_aa001e_7	Path point 7 (backward) aa001e	gc:ReactionPathPoint	7	ex:pathenergy_aa001e_7
ex:pathpoint_aa001e_8	Path point 8 (backward) aa001e	gc:ReactionPathPoint	8	ex:pathenergy_aa001e_8
ex:pathpoint_aa001e_9	Path point 9 (backward) aa001e	gc:ReactionPathPoint	9	ex:pathenergy_aa001e_9
ex:pathpoint_aa001e_10	Path point 10 (backward) aa001e	gc:ReactionPathPoint	10	ex:pathenergy_aa001e_10
ex:pathpoint_aa001e_11	Path point 11 (backward) aa001e	gc:ReactionPathPoint	11	ex:pathenergy_aa001e_11
ex:pathpoint_aa001e_12	Path point 12 (backward) aa001e	gc:ReactionPathPoint	12	ex:pathenergy_aa001e_12
ex:pathpoint_aa001e_13	Path point 13 (backward) aa001e	gc:ReactionPathPoint	13	ex:pathenergy_aa001e_13
ex:pathpoint_aa001e_14	Path point 14 (backward) aa001e	gc:ReactionPathPoint	14	ex:pathenergy_aa001e_14
ex:pathpoint_aa001e_15	Path point 15 (backward) aa001e	gc:ReactionPathPoint	15	ex:pathenergy_aa001e_15
ex:pathpoint_aa001e_16	Path point 16 (backward) aa001e	gc:ReactionPathPoint	16	ex:pathenergy_aa001e_16
ex:pathpoint_aa001e_17	Path point 17 (backward) aa001e	gc:ReactionPathPoint	17	ex:pathenergy_aa001e_17
ex:pathpoint_aa001e_18	Path point 18 (backward) aa001e	gc:ReactionPathPoint	18	ex:pathenergy_aa001e_18
ex:pathpoint_aa001e_19	Path point 19 (backward) aa001e	gc:ReactionPathPoint	19	ex:pathenergy_aa001e_19
ex:pathpoint_aa001e_20	Path point 20 (backward) aa001e	gc:ReactionPathPoint	20	ex:pathenergy_aa001e_20
ex:pathpoint_aa001e_21	Path point 21 (backward) aa001e	gc:ReactionPathPoint	21	ex:pathenergy_aa001e_21
