ID	Label	Type	hasFrequencyPeak
ID	LABEL	TYPE	I gc:hasFrequencyPeak SPLIT=|
ex:spectrum_aa001a	Vibrational spectrum aa001a	gc:VibrationalSpectra	ex:peak_aa001a_1|ex:peak_aa001a_2|ex:peak_aa001a_3|ex:peak_aa001a_4|ex:peak_aa001a_5|ex:peak_aa001a_6|ex:peak_aa001a_7
ex:spectrum_aa001b	Vibrational spectrum aa001b	gc:VibrationalSpectra	ex:peak_aa001b_1|ex:peak_aa001b_2|ex:peak_aa001b_3|ex:peak_aa001b_4|ex:peak_aa001b_5|ex:peak_aa001b_6|ex:peak_aa001b_7
ex:spectrum_aa001c	Vibrational spectrum aa001c	gc:VibrationalSpectra	ex:peak_aa001c_1|ex:peak_aa001c_2|ex:peak_aa001c_3|ex:peak_aa001c_4|ex:peak_aa001c_5|ex:peak_aa001c_6|ex:peak_aa001c_7
ex:spectrum_aa001d-smd-hess	Vibrational spectrum aa001d-smd-hess	gc:VibrationalSpectra	ex:peak_aa001d-smd-hess_1|ex:peak_aa001d-smd-hess_2|ex:peak_aa001d-smd-hess_3|ex:peak_aa001d-smd-hess_4|ex:peak_aa001d-smd-hess_5|ex:peak_aa001d-smd-hess_6|ex:peak_aa001d-smd-hess_7
ex:spectrum_aa001d-smd	Vibrational spectrum aa001d-smd	gc:VibrationalSpectra	ex:peak_aa001d-smd_1|ex:peak_aa001d-smd_2|ex:peak_aa001d-smd_3|ex:peak_aa001d-smd_4|ex:peak_aa001d-smd_5|ex:peak_aa001d-smd_6|ex:peak_aa001d-smd_7
ex:spectrum_aa001d	Vibrational spectrum aa001d	gc:VibrationalSpectra	ex:peak_aa001d_1|ex:peak_aa001d_2|ex:peak_aa001d_3|ex:peak_aa001d_4|ex:peak_aa001d_5|ex:peak_aa001d_6|ex:peak_aa001d_7
ex:spectrum_aa001g-smd	Vibrational spectrum aa001g-smd	gc:VibrationalSpectra	ex:peak_aa001g-smd_1|ex:peak_aa001g-smd_2|ex:peak_aa001g-smd_3|ex:peak_aa001g-smd_4|ex:peak_aa001g-smd_5|ex:peak_aa001g-smd_6
ex:spectrum_aa001g	Vibrational spectrum aa001g	gc:VibrationalSpectra	ex:peak_aa001g_1|ex:peak_aa001g_2|ex:peak_aa001g_3|ex:peak_aa001g_4|ex:peak_aa001g_5|ex:peak_aa001g_6
ex:spectrum_aa001h-smd	Vibrational spectrum aa001h-smd	gc:VibrationalSpectra	ex:peak_aa001h-smd_1|ex:peak_aa001h-smd_2|ex:peak_aa001h-smd_3|ex:peak_aa001h-smd_4|ex:peak_aa001h-smd_5|ex:peak_aa001h-smd_6
ex:spectrum_aa001h	Vibrational spectrum aa001h	gc:VibrationalSpectra	ex:peak_aa001h_1|ex:peak_aa001h_2|ex:peak_aa001h_3|ex:peak_aa001h_4|ex:peak_aa001h_5|ex:peak_aa001h_6
ex:spectrum_aa002-aldehyde-bare	Vibrational spectrum aa002-aldehyde-bare	gc:VibrationalSpectra	ex:peak_aa002-aldehyde-bare_1|ex:peak_aa002-aldehyde-bare_2|ex:peak_aa002-aldehyde-bare_3|ex:peak_aa002-aldehyde-bare_4|ex:peak_aa002-aldehyde-bare_5|ex:peak_aa002-aldehyde-bare_6
ex:spectrum_aa002-hydrate-bare-smd	Vibrational spectrum aa002-hydrate-bare-smd	gc:VibrationalSpectra	ex:peak_aa002-hydrate-bare-smd_1|ex:peak_aa002-hydrate-bare-smd_2|ex:peak_aa002-hydrate-bare-smd_3|ex:peak_aa002-hydrate-bare-smd_4|ex:peak_aa002-hydrate-bare-smd_5|ex:peak_aa002-hydrate-bare-smd_6
ex:spectrum_aa002-hydrate-bare	Vibrational spectrum aa002-hydrate-bare	gc:VibrationalSpectra	ex:peak_aa002-hydrate-bare_1|ex:peak_aa002-hydrate-bare_2|ex:peak_aa002-hydrate-bare_3|ex:peak_aa002-hydrate-bare_4|ex:peak_aa002-hydrate-bare_5|ex:peak_aa002-hydrate-bare_6
ex:spectrum_aa002-water-bare-smd	Vibrational spectrum aa002-water-bare-smd	gc:VibrationalSpectra	ex:peak_aa002-water-bare-smd_1|ex:peak_aa002-water-bare-smd_2|ex:peak_aa002-water-bare-smd_3|ex:peak_aa002-water-bare-smd_4|ex:peak_aa002-water-bare-smd_5|ex:peak_aa002-water-bare-smd_6
ex:spectrum_aa002-water-bare	Vibrational spectrum aa002-water-bare	gc:VibrationalSpectra	ex:peak_aa002-water-bare_1|ex:peak_aa002-water-bare_2|ex:peak_aa002-water-bare_3|ex:peak_aa002-water-bare_4|ex:peak_aa002-water-bare_5|ex:peak_aa002-water-bare_6
