ID	Label	Type	used	generated	wasGeneratedBy	fileURL	sha256	hasMethod	hasBasisSet	hasSolvent	hasSolvationModel	hasRuntyp	hasHssend
ID	LABEL	TYPE	I prov:used	I prov:generated SPLIT=|	I prov:wasGeneratedBy	A ex:fileURL	A schema:sha256	A gc:hasMethod	A gc:hasBasisSet	A ex:hasSolvent	A ex:hasSolvationModel	A ex:hasRuntyp	AT ex:hasHssend^^xsd:boolean
ex:avogadro_build	Structure built in Avogadro	prov:Activity											
ex:exp_caa001	Geometry optimisation caa001	gc:GeometryOptimization	ex:file_caa001_inp	ex:file_caa001_dat|ex:file_caa001_log				RHF	AM1			OPTIMIZE	
ex:file_caa001_inp	Input file caa001	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa001.inp	e7504b7396ea08a6932828620a1dbd945141904d4b864def7ba886cd79b29249						
ex:file_caa001_dat	Output data caa001	ex:DataFile			ex:exp_caa001								
ex:file_caa001_log	Output log caa001	ex:LogFile			ex:exp_caa001	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa001.log	433170d4c04f2e610206202c67c161ae85ef380485857b354760d2323f4b939f						
													
ex:exp_caa001a	Vibrational analysis caa001a	gc:VibrationalAnalysis	ex:file_caa001a_inp	ex:file_caa001a_dat|ex:file_caa001a_log				RHF	AM1	water	PCM	OPTIMIZE	true
ex:file_caa001a_inp	Input file caa001a	ex:InputFile			ex:exp_caa001	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa001a.inp	3c5059e0091d89eb1a39fc0b28e6ea6d1e2cb6628fae1658ba5883c6db3bb0d2						
ex:file_caa001a_dat	Output data caa001a	ex:DataFile			ex:exp_caa001a								
ex:file_caa001a_log	Output log caa001a	ex:LogFile			ex:exp_caa001a	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa001a.log	d303a8b59175d641347e111b4d63cc427acbf4e067c9a95560c06098a3b87451						
													
ex:exp_caa001b	Vibrational analysis caa001b	gc:VibrationalAnalysis	ex:file_caa001b_inp	ex:file_caa001b_dat|ex:file_caa001b_log				RHF	AM1	water	PCM	OPTIMIZE	true
ex:file_caa001b_inp	Input file caa001b	ex:InputFile			ex:exp_caa001a	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa001b.inp	d8607964208d39241d7db6ed2f5d330fe925ed295805851f4991cfff34eda48a						
ex:file_caa001b_dat	Output data caa001b	ex:DataFile			ex:exp_caa001b								
ex:file_caa001b_log	Output log caa001b	ex:LogFile			ex:exp_caa001b	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa001b.log	4e857a65286b0160cc21896c3e8084d4812c554555425dfbbff37a0790a8664c						
													
ex:exp_caa002	Vibrational analysis caa002	gc:VibrationalAnalysis	ex:file_caa002_inp	ex:file_caa002_dat|ex:file_caa002_log				wB97X-D	3-21G	water	PCM	OPTIMIZE	true
ex:file_caa002_inp	Input file caa002	ex:InputFile			ex:avogadro_build	file:////home/darren/Projects/active/ont_mm/examples/caa/inputs/caa002.inp	d511fe5d874dcd965e281caea7a1ffbee55db60dfd9e87708bb2c7c438ff36ec						
ex:file_caa002_dat	Output data caa002	ex:DataFile			ex:exp_caa002								
ex:file_caa002_log	Output log caa002	ex:LogFile			ex:exp_caa002	file:////home/darren/Projects/active/ont_mm/examples/caa/outputs/caa002.log	5b795bc9b92a90468ca85b28f55cb5168f81907ece7d6f35c4e75f2cd4cf64ca						
													
