ID	Label	Type	hasFloatValue	hasUnit
ID	LABEL	TYPE	AT gc:hasFloatValue^^xsd:float	I gc:hasUnit
ex:freqval_caa001a_1	Frequency mode 1 caa001a	gc:FloatValue	10.77	gc:cm-1
ex:freqval_caa001a_2	Frequency mode 2 caa001a	gc:FloatValue	4.52	gc:cm-1
ex:freqval_caa001a_3	Frequency mode 3 caa001a	gc:FloatValue	2.2	gc:cm-1
ex:freqval_caa001a_4	Frequency mode 4 caa001a	gc:FloatValue	1.5	gc:cm-1
ex:freqval_caa001a_5	Frequency mode 5 caa001a	gc:FloatValue	10.59	gc:cm-1
ex:freqval_caa001a_6	Frequency mode 6 caa001a	gc:FloatValue	16.23	gc:cm-1
ex:freqval_caa001a_7	Frequency mode 7 caa001a	gc:FloatValue	20.74	gc:cm-1
ex:freqval_caa001a_8	Frequency mode 8 caa001a	gc:FloatValue	25.45	gc:cm-1
ex:freqval_caa001a_9	Frequency mode 9 caa001a	gc:FloatValue	45.78	gc:cm-1
ex:freqval_caa001a_10	Frequency mode 10 caa001a	gc:FloatValue	79.18	gc:cm-1
ex:freqval_caa001a_11	Frequency mode 11 caa001a	gc:FloatValue	100.17	gc:cm-1
ex:freqval_caa001a_12	Frequency mode 12 caa001a	gc:FloatValue	115.93	gc:cm-1
ex:freqval_caa001a_13	Frequency mode 13 caa001a	gc:FloatValue	136.39	gc:cm-1
ex:freqval_caa001a_14	Frequency mode 14 caa001a	gc:FloatValue	158.15	gc:cm-1
ex:freqval_caa001a_15	Frequency mode 15 caa001a	gc:FloatValue	232.85	gc:cm-1
ex:freqval_caa001a_16	Frequency mode 16 caa001a	gc:FloatValue	242.99	gc:cm-1
ex:freqval_caa001a_17	Frequency mode 17 caa001a	gc:FloatValue	298.64	gc:cm-1
ex:freqval_caa001a_18	Frequency mode 18 caa001a	gc:FloatValue	325.54	gc:cm-1
ex:freqval_caa001a_19	Frequency mode 19 caa001a	gc:FloatValue	411.82	gc:cm-1
ex:freqval_caa001a_20	Frequency mode 20 caa001a	gc:FloatValue	488.58	gc:cm-1
ex:freqval_caa001a_21	Frequency mode 21 caa001a	gc:FloatValue	506.89	gc:cm-1
ex:freqval_caa001a_22	Frequency mode 22 caa001a	gc:FloatValue	770.49	gc:cm-1
ex:freqval_caa001a_23	Frequency mode 23 caa001a	gc:FloatValue	874.6	gc:cm-1
ex:freqval_caa001a_24	Frequency mode 24 caa001a	gc:FloatValue	1013.72	gc:cm-1
ex:freqval_caa001a_25	Frequency mode 25 caa001a	gc:FloatValue	1143.2	gc:cm-1
ex:freqval_caa001a_26	Frequency mode 26 caa001a	gc:FloatValue	1192.65	gc:cm-1
ex:freqval_caa001a_27	Frequency mode 27 caa001a	gc:FloatValue	1265.09	gc:cm-1
ex:freqval_caa001a_28	Frequency mode 28 caa001a	gc:FloatValue	1343.24	gc:cm-1
ex:freqval_caa001a_29	Frequency mode 29 caa001a	gc:FloatValue	1354.84	gc:cm-1
ex:freqval_caa001a_30	Frequency mode 30 caa001a	gc:FloatValue	1900.59	gc:cm-1
ex:freqval_caa001a_31	Frequency mode 31 caa001a	gc:FloatValue	1929.85	gc:cm-1
ex:freqval_caa001a_32	Frequency mode 32 caa001a	gc:FloatValue	2027.77	gc:cm-1
ex:freqval_caa001a_33	Frequency mode 33 caa001a	gc:FloatValue	3019.98	gc:cm-1
ex:freqval_caa001a_34	Frequency mode 34 caa001a	gc:FloatValue	3079.18	gc:cm-1
ex:freqval_caa001a_35	Frequency mode 35 caa001a	gc:FloatValue	3103.8	gc:cm-1
ex:freqval_caa001a_36	Frequency mode 36 caa001a	gc:FloatValue	3464.65	gc:cm-1
ex:freqval_caa001a_37	Frequency mode 37 caa001a	gc:FloatValue	3472.95	gc:cm-1
ex:freqval_caa001a_38	Frequency mode 38 caa001a	gc:FloatValue	3561.45	gc:cm-1
