ID	Label	Type	hasIndex	hasPathEnergy
ID	LABEL	TYPE	I gc:hasIndex	I gc:hasPathEnergy
ex:pathpoint_caa005bTSaIRCf_1	Path point 1 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	1	ex:pathenergy_caa005bTSaIRCf_1
ex:pathpoint_caa005bTSaIRCf_2	Path point 2 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	2	ex:pathenergy_caa005bTSaIRCf_2
ex:pathpoint_caa005bTSaIRCf_3	Path point 3 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	3	ex:pathenergy_caa005bTSaIRCf_3
ex:pathpoint_caa005bTSaIRCf_4	Path point 4 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	4	ex:pathenergy_caa005bTSaIRCf_4
ex:pathpoint_caa005bTSaIRCf_5	Path point 5 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	5	ex:pathenergy_caa005bTSaIRCf_5
ex:pathpoint_caa005bTSaIRCf_6	Path point 6 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	6	ex:pathenergy_caa005bTSaIRCf_6
ex:pathpoint_caa005bTSaIRCf_7	Path point 7 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	7	ex:pathenergy_caa005bTSaIRCf_7
ex:pathpoint_caa005bTSaIRCf_8	Path point 8 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	8	ex:pathenergy_caa005bTSaIRCf_8
ex:pathpoint_caa005bTSaIRCf_9	Path point 9 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	9	ex:pathenergy_caa005bTSaIRCf_9
ex:pathpoint_caa005bTSaIRCf_10	Path point 10 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	10	ex:pathenergy_caa005bTSaIRCf_10
ex:pathpoint_caa005bTSaIRCf_11	Path point 11 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	11	ex:pathenergy_caa005bTSaIRCf_11
ex:pathpoint_caa005bTSaIRCf_12	Path point 12 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	12	ex:pathenergy_caa005bTSaIRCf_12
ex:pathpoint_caa005bTSaIRCf_13	Path point 13 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	13	ex:pathenergy_caa005bTSaIRCf_13
ex:pathpoint_caa005bTSaIRCf_14	Path point 14 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	14	ex:pathenergy_caa005bTSaIRCf_14
ex:pathpoint_caa005bTSaIRCf_15	Path point 15 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	15	ex:pathenergy_caa005bTSaIRCf_15
ex:pathpoint_caa005bTSaIRCf_16	Path point 16 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	16	ex:pathenergy_caa005bTSaIRCf_16
ex:pathpoint_caa005bTSaIRCf_17	Path point 17 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	17	ex:pathenergy_caa005bTSaIRCf_17
ex:pathpoint_caa005bTSaIRCf_18	Path point 18 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	18	ex:pathenergy_caa005bTSaIRCf_18
ex:pathpoint_caa005bTSaIRCf_19	Path point 19 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	19	ex:pathenergy_caa005bTSaIRCf_19
ex:pathpoint_caa005bTSaIRCf_20	Path point 20 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	20	ex:pathenergy_caa005bTSaIRCf_20
ex:pathpoint_caa005bTSaIRCf_21	Path point 21 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	21	ex:pathenergy_caa005bTSaIRCf_21
ex:pathpoint_caa005bTSaIRCf_22	Path point 22 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	22	ex:pathenergy_caa005bTSaIRCf_22
ex:pathpoint_caa005bTSaIRCf_23	Path point 23 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	23	ex:pathenergy_caa005bTSaIRCf_23
ex:pathpoint_caa005bTSaIRCf_24	Path point 24 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	24	ex:pathenergy_caa005bTSaIRCf_24
ex:pathpoint_caa005bTSaIRCf_25	Path point 25 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	25	ex:pathenergy_caa005bTSaIRCf_25
ex:pathpoint_caa005bTSaIRCf_26	Path point 26 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	26	ex:pathenergy_caa005bTSaIRCf_26
ex:pathpoint_caa005bTSaIRCf_27	Path point 27 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	27	ex:pathenergy_caa005bTSaIRCf_27
ex:pathpoint_caa005bTSaIRCf_28	Path point 28 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	28	ex:pathenergy_caa005bTSaIRCf_28
ex:pathpoint_caa005bTSaIRCf_29	Path point 29 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	29	ex:pathenergy_caa005bTSaIRCf_29
ex:pathpoint_caa005bTSaIRCf_30	Path point 30 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	30	ex:pathenergy_caa005bTSaIRCf_30
ex:pathpoint_caa005bTSaIRCf_31	Path point 31 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	31	ex:pathenergy_caa005bTSaIRCf_31
ex:pathpoint_caa005bTSaIRCf_32	Path point 32 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	32	ex:pathenergy_caa005bTSaIRCf_32
ex:pathpoint_caa005bTSaIRCf_33	Path point 33 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	33	ex:pathenergy_caa005bTSaIRCf_33
ex:pathpoint_caa005bTSaIRCf_34	Path point 34 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	34	ex:pathenergy_caa005bTSaIRCf_34
ex:pathpoint_caa005bTSaIRCf_35	Path point 35 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	35	ex:pathenergy_caa005bTSaIRCf_35
ex:pathpoint_caa005bTSaIRCf_36	Path point 36 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	36	ex:pathenergy_caa005bTSaIRCf_36
ex:pathpoint_caa005bTSaIRCf_37	Path point 37 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	37	ex:pathenergy_caa005bTSaIRCf_37
ex:pathpoint_caa005bTSaIRCf_38	Path point 38 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	38	ex:pathenergy_caa005bTSaIRCf_38
ex:pathpoint_caa005bTSaIRCf_39	Path point 39 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	39	ex:pathenergy_caa005bTSaIRCf_39
ex:pathpoint_caa005bTSaIRCf_40	Path point 40 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	40	ex:pathenergy_caa005bTSaIRCf_40
ex:pathpoint_caa005bTSaIRCf_41	Path point 41 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	41	ex:pathenergy_caa005bTSaIRCf_41
ex:pathpoint_caa005bTSaIRCf_42	Path point 42 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	42	ex:pathenergy_caa005bTSaIRCf_42
ex:pathpoint_caa005bTSaIRCf_43	Path point 43 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	43	ex:pathenergy_caa005bTSaIRCf_43
ex:pathpoint_caa005bTSaIRCf_44	Path point 44 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	44	ex:pathenergy_caa005bTSaIRCf_44
ex:pathpoint_caa005bTSaIRCf_45	Path point 45 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	45	ex:pathenergy_caa005bTSaIRCf_45
ex:pathpoint_caa005bTSaIRCf_46	Path point 46 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	46	ex:pathenergy_caa005bTSaIRCf_46
ex:pathpoint_caa005bTSaIRCf_47	Path point 47 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	47	ex:pathenergy_caa005bTSaIRCf_47
ex:pathpoint_caa005bTSaIRCf_48	Path point 48 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	48	ex:pathenergy_caa005bTSaIRCf_48
ex:pathpoint_caa005bTSaIRCf_49	Path point 49 (backward) caa005bTSaIRCf	gc:ReactionPathPoint	49	ex:pathenergy_caa005bTSaIRCf_49
