ID	Label	Type	hasFrequencyPeak
ID	LABEL	TYPE	I gc:hasFrequencyPeak SPLIT=|
ex:spectrum_caa001a	Vibrational spectrum caa001a	gc:VibrationalSpectra	ex:peak_caa001a_1|ex:peak_caa001a_2|ex:peak_caa001a_3|ex:peak_caa001a_4|ex:peak_caa001a_5|ex:peak_caa001a_6|ex:peak_caa001a_7|ex:peak_caa001a_8|ex:peak_caa001a_9|ex:peak_caa001a_10|ex:peak_caa001a_11|ex:peak_caa001a_12|ex:peak_caa001a_13|ex:peak_caa001a_14|ex:peak_caa001a_15|ex:peak_caa001a_16|ex:peak_caa001a_17|ex:peak_caa001a_18|ex:peak_caa001a_19|ex:peak_caa001a_20|ex:peak_caa001a_21|ex:peak_caa001a_22|ex:peak_caa001a_23|ex:peak_caa001a_24|ex:peak_caa001a_25|ex:peak_caa001a_26|ex:peak_caa001a_27|ex:peak_caa001a_28|ex:peak_caa001a_29|ex:peak_caa001a_30|ex:peak_caa001a_31|ex:peak_caa001a_32|ex:peak_caa001a_33|ex:peak_caa001a_34|ex:peak_caa001a_35|ex:peak_caa001a_36|ex:peak_caa001a_37|ex:peak_caa001a_38|ex:peak_caa001a_39
ex:spectrum_caa001b	Vibrational spectrum caa001b	gc:VibrationalSpectra	ex:peak_caa001b_1|ex:peak_caa001b_2|ex:peak_caa001b_3|ex:peak_caa001b_4|ex:peak_caa001b_5|ex:peak_caa001b_6|ex:peak_caa001b_7|ex:peak_caa001b_8|ex:peak_caa001b_9|ex:peak_caa001b_10|ex:peak_caa001b_11|ex:peak_caa001b_12|ex:peak_caa001b_13|ex:peak_caa001b_14|ex:peak_caa001b_15|ex:peak_caa001b_16|ex:peak_caa001b_17|ex:peak_caa001b_18|ex:peak_caa001b_19|ex:peak_caa001b_20|ex:peak_caa001b_21|ex:peak_caa001b_22|ex:peak_caa001b_23|ex:peak_caa001b_24|ex:peak_caa001b_25|ex:peak_caa001b_26|ex:peak_caa001b_27|ex:peak_caa001b_28|ex:peak_caa001b_29|ex:peak_caa001b_30|ex:peak_caa001b_31|ex:peak_caa001b_32|ex:peak_caa001b_33|ex:peak_caa001b_34|ex:peak_caa001b_35|ex:peak_caa001b_36|ex:peak_caa001b_37|ex:peak_caa001b_38|ex:peak_caa001b_39
ex:spectrum_caa002	Vibrational spectrum caa002	gc:VibrationalSpectra	ex:peak_caa002_1|ex:peak_caa002_2|ex:peak_caa002_3|ex:peak_caa002_4|ex:peak_caa002_5|ex:peak_caa002_6|ex:peak_caa002_7|ex:peak_caa002_8|ex:peak_caa002_9|ex:peak_caa002_10|ex:peak_caa002_11|ex:peak_caa002_12|ex:peak_caa002_13|ex:peak_caa002_14|ex:peak_caa002_15|ex:peak_caa002_16|ex:peak_caa002_17|ex:peak_caa002_18|ex:peak_caa002_19|ex:peak_caa002_20|ex:peak_caa002_21|ex:peak_caa002_22|ex:peak_caa002_23|ex:peak_caa002_24|ex:peak_caa002_25|ex:peak_caa002_26|ex:peak_caa002_27|ex:peak_caa002_28|ex:peak_caa002_29|ex:peak_caa002_30|ex:peak_caa002_31|ex:peak_caa002_32|ex:peak_caa002_33|ex:peak_caa002_34|ex:peak_caa002_35|ex:peak_caa002_36|ex:peak_caa002_37|ex:peak_caa002_38|ex:peak_caa002_39
ex:spectrum_caa002a	Vibrational spectrum caa002a	gc:VibrationalSpectra	ex:peak_caa002a_1|ex:peak_caa002a_2|ex:peak_caa002a_3|ex:peak_caa002a_4|ex:peak_caa002a_5|ex:peak_caa002a_6|ex:peak_caa002a_7|ex:peak_caa002a_8|ex:peak_caa002a_9|ex:peak_caa002a_10|ex:peak_caa002a_11|ex:peak_caa002a_12|ex:peak_caa002a_13|ex:peak_caa002a_14|ex:peak_caa002a_15|ex:peak_caa002a_16|ex:peak_caa002a_17|ex:peak_caa002a_18|ex:peak_caa002a_19|ex:peak_caa002a_20|ex:peak_caa002a_21|ex:peak_caa002a_22|ex:peak_caa002a_23|ex:peak_caa002a_24|ex:peak_caa002a_25|ex:peak_caa002a_26|ex:peak_caa002a_27|ex:peak_caa002a_28|ex:peak_caa002a_29|ex:peak_caa002a_30|ex:peak_caa002a_31|ex:peak_caa002a_32|ex:peak_caa002a_33|ex:peak_caa002a_34|ex:peak_caa002a_35|ex:peak_caa002a_36|ex:peak_caa002a_37|ex:peak_caa002a_38|ex:peak_caa002a_39
ex:spectrum_caa002b	Vibrational spectrum caa002b	gc:VibrationalSpectra	ex:peak_caa002b_1|ex:peak_caa002b_2|ex:peak_caa002b_3|ex:peak_caa002b_4|ex:peak_caa002b_5|ex:peak_caa002b_6|ex:peak_caa002b_7|ex:peak_caa002b_8|ex:peak_caa002b_9|ex:peak_caa002b_10|ex:peak_caa002b_11|ex:peak_caa002b_12|ex:peak_caa002b_13|ex:peak_caa002b_14|ex:peak_caa002b_15|ex:peak_caa002b_16|ex:peak_caa002b_17|ex:peak_caa002b_18|ex:peak_caa002b_19|ex:peak_caa002b_20|ex:peak_caa002b_21|ex:peak_caa002b_22|ex:peak_caa002b_23|ex:peak_caa002b_24|ex:peak_caa002b_25|ex:peak_caa002b_26|ex:peak_caa002b_27|ex:peak_caa002b_28|ex:peak_caa002b_29|ex:peak_caa002b_30|ex:peak_caa002b_31|ex:peak_caa002b_32|ex:peak_caa002b_33|ex:peak_caa002b_34|ex:peak_caa002b_35|ex:peak_caa002b_36|ex:peak_caa002b_37|ex:peak_caa002b_38|ex:peak_caa002b_39
ex:spectrum_caa003a	Vibrational spectrum caa003a	gc:VibrationalSpectra	ex:peak_caa003a_1|ex:peak_caa003a_2|ex:peak_caa003a_3|ex:peak_caa003a_4|ex:peak_caa003a_5|ex:peak_caa003a_6|ex:peak_caa003a_7|ex:peak_caa003a_8|ex:peak_caa003a_9|ex:peak_caa003a_10|ex:peak_caa003a_11|ex:peak_caa003a_12|ex:peak_caa003a_13|ex:peak_caa003a_14|ex:peak_caa003a_15|ex:peak_caa003a_16|ex:peak_caa003a_17|ex:peak_caa003a_18|ex:peak_caa003a_19|ex:peak_caa003a_20|ex:peak_caa003a_21|ex:peak_caa003a_22|ex:peak_caa003a_23|ex:peak_caa003a_24|ex:peak_caa003a_25|ex:peak_caa003a_26|ex:peak_caa003a_27|ex:peak_caa003a_28|ex:peak_caa003a_29|ex:peak_caa003a_30|ex:peak_caa003a_31|ex:peak_caa003a_32|ex:peak_caa003a_33|ex:peak_caa003a_34|ex:peak_caa003a_35|ex:peak_caa003a_36|ex:peak_caa003a_37|ex:peak_caa003a_38|ex:peak_caa003a_39
ex:spectrum_caa003b	Vibrational spectrum caa003b	gc:VibrationalSpectra	ex:peak_caa003b_1|ex:peak_caa003b_2|ex:peak_caa003b_3|ex:peak_caa003b_4|ex:peak_caa003b_5|ex:peak_caa003b_6|ex:peak_caa003b_7|ex:peak_caa003b_8|ex:peak_caa003b_9|ex:peak_caa003b_10|ex:peak_caa003b_11|ex:peak_caa003b_12|ex:peak_caa003b_13|ex:peak_caa003b_14|ex:peak_caa003b_15|ex:peak_caa003b_16|ex:peak_caa003b_17|ex:peak_caa003b_18|ex:peak_caa003b_19|ex:peak_caa003b_20|ex:peak_caa003b_21|ex:peak_caa003b_22|ex:peak_caa003b_23|ex:peak_caa003b_24|ex:peak_caa003b_25|ex:peak_caa003b_26|ex:peak_caa003b_27|ex:peak_caa003b_28|ex:peak_caa003b_29|ex:peak_caa003b_30|ex:peak_caa003b_31|ex:peak_caa003b_32|ex:peak_caa003b_33|ex:peak_caa003b_34|ex:peak_caa003b_35|ex:peak_caa003b_36|ex:peak_caa003b_37|ex:peak_caa003b_38|ex:peak_caa003b_39
ex:spectrum_caa003c	Vibrational spectrum caa003c	gc:VibrationalSpectra	ex:peak_caa003c_1|ex:peak_caa003c_2|ex:peak_caa003c_3|ex:peak_caa003c_4|ex:peak_caa003c_5|ex:peak_caa003c_6|ex:peak_caa003c_7|ex:peak_caa003c_8|ex:peak_caa003c_9|ex:peak_caa003c_10|ex:peak_caa003c_11|ex:peak_caa003c_12|ex:peak_caa003c_13|ex:peak_caa003c_14|ex:peak_caa003c_15|ex:peak_caa003c_16|ex:peak_caa003c_17|ex:peak_caa003c_18|ex:peak_caa003c_19|ex:peak_caa003c_20|ex:peak_caa003c_21|ex:peak_caa003c_22|ex:peak_caa003c_23|ex:peak_caa003c_24|ex:peak_caa003c_25|ex:peak_caa003c_26|ex:peak_caa003c_27|ex:peak_caa003c_28|ex:peak_caa003c_29|ex:peak_caa003c_30|ex:peak_caa003c_31|ex:peak_caa003c_32|ex:peak_caa003c_33|ex:peak_caa003c_34|ex:peak_caa003c_35|ex:peak_caa003c_36|ex:peak_caa003c_37|ex:peak_caa003c_38|ex:peak_caa003c_39
