ID	Label	Type	hasIndex	hasPathEnergy
ID	LABEL	TYPE	I gc:hasIndex	I gc:hasPathEnergy
ex:pathpoint_09aTSaIRCf_1	Path point 1 (backward) 09aTSaIRCf	gc:ReactionPathPoint	1	ex:pathenergy_09aTSaIRCf_1
ex:pathpoint_09aTSaIRCf_2	Path point 2 (backward) 09aTSaIRCf	gc:ReactionPathPoint	2	ex:pathenergy_09aTSaIRCf_2
ex:pathpoint_09aTSaIRCf_3	Path point 3 (backward) 09aTSaIRCf	gc:ReactionPathPoint	3	ex:pathenergy_09aTSaIRCf_3
ex:pathpoint_09aTSaIRCf_4	Path point 4 (backward) 09aTSaIRCf	gc:ReactionPathPoint	4	ex:pathenergy_09aTSaIRCf_4
ex:pathpoint_09aTSaIRCf_5	Path point 5 (backward) 09aTSaIRCf	gc:ReactionPathPoint	5	ex:pathenergy_09aTSaIRCf_5
ex:pathpoint_09aTSaIRCf_6	Path point 6 (backward) 09aTSaIRCf	gc:ReactionPathPoint	6	ex:pathenergy_09aTSaIRCf_6
ex:pathpoint_09aTSaIRCf_7	Path point 7 (backward) 09aTSaIRCf	gc:ReactionPathPoint	7	ex:pathenergy_09aTSaIRCf_7
ex:pathpoint_09aTSaIRCf_8	Path point 8 (backward) 09aTSaIRCf	gc:ReactionPathPoint	8	ex:pathenergy_09aTSaIRCf_8
ex:pathpoint_09aTSaIRCf_9	Path point 9 (backward) 09aTSaIRCf	gc:ReactionPathPoint	9	ex:pathenergy_09aTSaIRCf_9
ex:pathpoint_09aTSaIRCf_10	Path point 10 (backward) 09aTSaIRCf	gc:ReactionPathPoint	10	ex:pathenergy_09aTSaIRCf_10
ex:pathpoint_09aTSaIRCf_11	Path point 11 (backward) 09aTSaIRCf	gc:ReactionPathPoint	11	ex:pathenergy_09aTSaIRCf_11
ex:pathpoint_09aTSaIRCf_12	Path point 12 (backward) 09aTSaIRCf	gc:ReactionPathPoint	12	ex:pathenergy_09aTSaIRCf_12
ex:pathpoint_09aTSaIRCf_13	Path point 13 (backward) 09aTSaIRCf	gc:ReactionPathPoint	13	ex:pathenergy_09aTSaIRCf_13
ex:pathpoint_09aTSaIRCf_14	Path point 14 (backward) 09aTSaIRCf	gc:ReactionPathPoint	14	ex:pathenergy_09aTSaIRCf_14
ex:pathpoint_09aTSaIRCf_15	Path point 15 (backward) 09aTSaIRCf	gc:ReactionPathPoint	15	ex:pathenergy_09aTSaIRCf_15
ex:pathpoint_09aTSaIRCf_16	Path point 16 (backward) 09aTSaIRCf	gc:ReactionPathPoint	16	ex:pathenergy_09aTSaIRCf_16
ex:pathpoint_09aTSaIRCf_17	Path point 17 (backward) 09aTSaIRCf	gc:ReactionPathPoint	17	ex:pathenergy_09aTSaIRCf_17
ex:pathpoint_09aTSaIRCf_18	Path point 18 (backward) 09aTSaIRCf	gc:ReactionPathPoint	18	ex:pathenergy_09aTSaIRCf_18
ex:pathpoint_09aTSaIRCf_19	Path point 19 (backward) 09aTSaIRCf	gc:ReactionPathPoint	19	ex:pathenergy_09aTSaIRCf_19
ex:pathpoint_09aTSaIRCf_20	Path point 20 (backward) 09aTSaIRCf	gc:ReactionPathPoint	20	ex:pathenergy_09aTSaIRCf_20
ex:pathpoint_09aTSaIRCf_21	Path point 21 (backward) 09aTSaIRCf	gc:ReactionPathPoint	21	ex:pathenergy_09aTSaIRCf_21
ex:pathpoint_09aTSaIRCf_22	Path point 22 (backward) 09aTSaIRCf	gc:ReactionPathPoint	22	ex:pathenergy_09aTSaIRCf_22
ex:pathpoint_09aTSaIRCf_23	Path point 23 (backward) 09aTSaIRCf	gc:ReactionPathPoint	23	ex:pathenergy_09aTSaIRCf_23
ex:pathpoint_09aTSaIRCf_24	Path point 24 (backward) 09aTSaIRCf	gc:ReactionPathPoint	24	ex:pathenergy_09aTSaIRCf_24
ex:pathpoint_09aTSaIRCf_25	Path point 25 (backward) 09aTSaIRCf	gc:ReactionPathPoint	25	ex:pathenergy_09aTSaIRCf_25
ex:pathpoint_09aTSaIRCf_26	Path point 26 (backward) 09aTSaIRCf	gc:ReactionPathPoint	26	ex:pathenergy_09aTSaIRCf_26
ex:pathpoint_09aTSaIRCf_27	Path point 27 (backward) 09aTSaIRCf	gc:ReactionPathPoint	27	ex:pathenergy_09aTSaIRCf_27
ex:pathpoint_09aTSaIRCf_28	Path point 28 (backward) 09aTSaIRCf	gc:ReactionPathPoint	28	ex:pathenergy_09aTSaIRCf_28
ex:pathpoint_09aTSaIRCf_29	Path point 29 (backward) 09aTSaIRCf	gc:ReactionPathPoint	29	ex:pathenergy_09aTSaIRCf_29
ex:pathpoint_09aTSaIRCf_30	Path point 30 (backward) 09aTSaIRCf	gc:ReactionPathPoint	30	ex:pathenergy_09aTSaIRCf_30
ex:pathpoint_09aTSaIRCf_31	Path point 31 (backward) 09aTSaIRCf	gc:ReactionPathPoint	31	ex:pathenergy_09aTSaIRCf_31
ex:pathpoint_09aTSaIRCf_32	Path point 32 (backward) 09aTSaIRCf	gc:ReactionPathPoint	32	ex:pathenergy_09aTSaIRCf_32
ex:pathpoint_09aTSaIRCf_33	Path point 33 (backward) 09aTSaIRCf	gc:ReactionPathPoint	33	ex:pathenergy_09aTSaIRCf_33
ex:pathpoint_09aTSaIRCf_34	Path point 34 (backward) 09aTSaIRCf	gc:ReactionPathPoint	34	ex:pathenergy_09aTSaIRCf_34
ex:pathpoint_09aTSaIRCf_35	Path point 35 (backward) 09aTSaIRCf	gc:ReactionPathPoint	35	ex:pathenergy_09aTSaIRCf_35
ex:pathpoint_09aTSaIRCf_36	Path point 36 (backward) 09aTSaIRCf	gc:ReactionPathPoint	36	ex:pathenergy_09aTSaIRCf_36
ex:pathpoint_09aTSaIRCf_37	Path point 37 (backward) 09aTSaIRCf	gc:ReactionPathPoint	37	ex:pathenergy_09aTSaIRCf_37
ex:pathpoint_09aTSaIRCf_38	Path point 38 (backward) 09aTSaIRCf	gc:ReactionPathPoint	38	ex:pathenergy_09aTSaIRCf_38
ex:pathpoint_09aTSaIRCf_39	Path point 39 (backward) 09aTSaIRCf	gc:ReactionPathPoint	39	ex:pathenergy_09aTSaIRCf_39
ex:pathpoint_09aTSaIRCf_40	Path point 40 (backward) 09aTSaIRCf	gc:ReactionPathPoint	40	ex:pathenergy_09aTSaIRCf_40
ex:pathpoint_09aTSaIRCf_41	Path point 41 (backward) 09aTSaIRCf	gc:ReactionPathPoint	41	ex:pathenergy_09aTSaIRCf_41
ex:pathpoint_09aTSaIRCf_42	Path point 42 (backward) 09aTSaIRCf	gc:ReactionPathPoint	42	ex:pathenergy_09aTSaIRCf_42
ex:pathpoint_09aTSaIRCf_43	Path point 43 (backward) 09aTSaIRCf	gc:ReactionPathPoint	43	ex:pathenergy_09aTSaIRCf_43
ex:pathpoint_09aTSaIRCf_44	Path point 44 (forward) 09aTSaIRCf	gc:ReactionPathPoint	44	ex:pathenergy_09aTSaIRCf_44
ex:pathpoint_09aTSaIRCf_45	Path point 45 (forward) 09aTSaIRCf	gc:ReactionPathPoint	45	ex:pathenergy_09aTSaIRCf_45
ex:pathpoint_09aTSaIRCf_46	Path point 46 (forward) 09aTSaIRCf	gc:ReactionPathPoint	46	ex:pathenergy_09aTSaIRCf_46
ex:pathpoint_09aTSaIRCf_47	Path point 47 (forward) 09aTSaIRCf	gc:ReactionPathPoint	47	ex:pathenergy_09aTSaIRCf_47
ex:pathpoint_09aTSaIRCf_48	Path point 48 (forward) 09aTSaIRCf	gc:ReactionPathPoint	48	ex:pathenergy_09aTSaIRCf_48
ex:pathpoint_09aTSaIRCf_49	Path point 49 (forward) 09aTSaIRCf	gc:ReactionPathPoint	49	ex:pathenergy_09aTSaIRCf_49
ex:pathpoint_09aTSaIRCf_50	Path point 50 (forward) 09aTSaIRCf	gc:ReactionPathPoint	50	ex:pathenergy_09aTSaIRCf_50
ex:pathpoint_09aTSaIRCf_51	Path point 51 (forward) 09aTSaIRCf	gc:ReactionPathPoint	51	ex:pathenergy_09aTSaIRCf_51
ex:pathpoint_09aTSaIRCf_52	Path point 52 (forward) 09aTSaIRCf	gc:ReactionPathPoint	52	ex:pathenergy_09aTSaIRCf_52
ex:pathpoint_09aTSaIRCf_53	Path point 53 (forward) 09aTSaIRCf	gc:ReactionPathPoint	53	ex:pathenergy_09aTSaIRCf_53
ex:pathpoint_09aTSaIRCf_54	Path point 54 (forward) 09aTSaIRCf	gc:ReactionPathPoint	54	ex:pathenergy_09aTSaIRCf_54
ex:pathpoint_09aTSaIRCf_55	Path point 55 (forward) 09aTSaIRCf	gc:ReactionPathPoint	55	ex:pathenergy_09aTSaIRCf_55
ex:pathpoint_09aTSaIRCf_56	Path point 56 (forward) 09aTSaIRCf	gc:ReactionPathPoint	56	ex:pathenergy_09aTSaIRCf_56
ex:pathpoint_09aTSaIRCf_57	Path point 57 (forward) 09aTSaIRCf	gc:ReactionPathPoint	57	ex:pathenergy_09aTSaIRCf_57
ex:pathpoint_09aTSaIRCf_58	Path point 58 (forward) 09aTSaIRCf	gc:ReactionPathPoint	58	ex:pathenergy_09aTSaIRCf_58
ex:pathpoint_09aTSaIRCf_59	Path point 59 (forward) 09aTSaIRCf	gc:ReactionPathPoint	59	ex:pathenergy_09aTSaIRCf_59
ex:pathpoint_09aTSaIRCf_60	Path point 60 (forward) 09aTSaIRCf	gc:ReactionPathPoint	60	ex:pathenergy_09aTSaIRCf_60
ex:pathpoint_09aTSaIRCf_61	Path point 61 (forward) 09aTSaIRCf	gc:ReactionPathPoint	61	ex:pathenergy_09aTSaIRCf_61
ex:pathpoint_09aTSaIRCf_62	Path point 62 (forward) 09aTSaIRCf	gc:ReactionPathPoint	62	ex:pathenergy_09aTSaIRCf_62
ex:pathpoint_09aTSaIRCf_63	Path point 63 (forward) 09aTSaIRCf	gc:ReactionPathPoint	63	ex:pathenergy_09aTSaIRCf_63
ex:pathpoint_09aTSaIRCf_64	Path point 64 (forward) 09aTSaIRCf	gc:ReactionPathPoint	64	ex:pathenergy_09aTSaIRCf_64
ex:pathpoint_09aTSaIRCf_65	Path point 65 (forward) 09aTSaIRCf	gc:ReactionPathPoint	65	ex:pathenergy_09aTSaIRCf_65
ex:pathpoint_09aTSaIRCf_66	Path point 66 (forward) 09aTSaIRCf	gc:ReactionPathPoint	66	ex:pathenergy_09aTSaIRCf_66
ex:pathpoint_09aTSaIRCf_67	Path point 67 (forward) 09aTSaIRCf	gc:ReactionPathPoint	67	ex:pathenergy_09aTSaIRCf_67
ex:pathpoint_09aTSaIRCf_68	Path point 68 (forward) 09aTSaIRCf	gc:ReactionPathPoint	68	ex:pathenergy_09aTSaIRCf_68
ex:pathpoint_09aTSaIRCf_69	Path point 69 (forward) 09aTSaIRCf	gc:ReactionPathPoint	69	ex:pathenergy_09aTSaIRCf_69
ex:pathpoint_09aTSaIRCf_70	Path point 70 (forward) 09aTSaIRCf	gc:ReactionPathPoint	70	ex:pathenergy_09aTSaIRCf_70
ex:pathpoint_09aTSaIRCf_71	Path point 71 (forward) 09aTSaIRCf	gc:ReactionPathPoint	71	ex:pathenergy_09aTSaIRCf_71
ex:pathpoint_09aTSaIRCf_72	Path point 72 (forward) 09aTSaIRCf	gc:ReactionPathPoint	72	ex:pathenergy_09aTSaIRCf_72
ex:pathpoint_09aTSaIRCf_73	Path point 73 (forward) 09aTSaIRCf	gc:ReactionPathPoint	73	ex:pathenergy_09aTSaIRCf_73
ex:pathpoint_09aTSaIRCf_74	Path point 74 (forward) 09aTSaIRCf	gc:ReactionPathPoint	74	ex:pathenergy_09aTSaIRCf_74
ex:pathpoint_09aTSaIRCf_75	Path point 75 (forward) 09aTSaIRCf	gc:ReactionPathPoint	75	ex:pathenergy_09aTSaIRCf_75
ex:pathpoint_09aTSaIRCf_76	Path point 76 (forward) 09aTSaIRCf	gc:ReactionPathPoint	76	ex:pathenergy_09aTSaIRCf_76
ex:pathpoint_09aTSaIRCf_77	Path point 77 (forward) 09aTSaIRCf	gc:ReactionPathPoint	77	ex:pathenergy_09aTSaIRCf_77
ex:pathpoint_09aTSaIRCf_78	Path point 78 (forward) 09aTSaIRCf	gc:ReactionPathPoint	78	ex:pathenergy_09aTSaIRCf_78
ex:pathpoint_09aTSaIRCf_79	Path point 79 (forward) 09aTSaIRCf	gc:ReactionPathPoint	79	ex:pathenergy_09aTSaIRCf_79
ex:pathpoint_09aTSaIRCf_80	Path point 80 (forward) 09aTSaIRCf	gc:ReactionPathPoint	80	ex:pathenergy_09aTSaIRCf_80
ex:pathpoint_09aTSaIRCf_81	Path point 81 (forward) 09aTSaIRCf	gc:ReactionPathPoint	81	ex:pathenergy_09aTSaIRCf_81
ex:pathpoint_09aTSaIRCf_82	Path point 82 (forward) 09aTSaIRCf	gc:ReactionPathPoint	82	ex:pathenergy_09aTSaIRCf_82
ex:pathpoint_09aTSaIRCf_83	Path point 83 (forward) 09aTSaIRCf	gc:ReactionPathPoint	83	ex:pathenergy_09aTSaIRCf_83
ex:pathpoint_09aTSaIRCf_84	Path point 84 (forward) 09aTSaIRCf	gc:ReactionPathPoint	84	ex:pathenergy_09aTSaIRCf_84
ex:pathpoint_09aTSaIRCf_85	Path point 85 (forward) 09aTSaIRCf	gc:ReactionPathPoint	85	ex:pathenergy_09aTSaIRCf_85
ex:pathpoint_09aTSaIRCf_86	Path point 86 (forward) 09aTSaIRCf	gc:ReactionPathPoint	86	ex:pathenergy_09aTSaIRCf_86
ex:pathpoint_09aTSaIRCf_87	Path point 87 (forward) 09aTSaIRCf	gc:ReactionPathPoint	87	ex:pathenergy_09aTSaIRCf_87
ex:pathpoint_09aTSaIRCf_88	Path point 88 (forward) 09aTSaIRCf	gc:ReactionPathPoint	88	ex:pathenergy_09aTSaIRCf_88
ex:pathpoint_09aTSaIRCf_89	Path point 89 (forward) 09aTSaIRCf	gc:ReactionPathPoint	89	ex:pathenergy_09aTSaIRCf_89
ex:pathpoint_09aTSaIRCf_90	Path point 90 (forward) 09aTSaIRCf	gc:ReactionPathPoint	90	ex:pathenergy_09aTSaIRCf_90
